country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989 ,1990 ,1991 ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
SYRIAN ARAB REP.,31.7,32.9,34.0,35.2,36.3,37.5,38.7,39.8,41.0,42.1,42.5,46.0,45.0,45.0,58.0,72.0,77.0,89.0,94.0,119.0,101.0,119.0,143.0,157.0,174.0,161.0,165.0,182.0,176.0,171.0,191.0,206.0,203.8,231.0,233.8,244.3,248.5,244.0,261.0,271.0,276.8,240.0,239.8,232.3,260.7,269.5,301.3,357.9,393.9,347.2,320.1,313.5,310.1,278.1
UN. ARAB EMIRATES,0.7,0.9,1.2,1.4,1.7,2.1,2.1,2.4,3.7,3.5,3.8,4.0,5.6,8.9,12.2,44.6,54.9,82.4,92.7,60.5,109.7,119.5,131.4,132.8,148.3,180.2,227.0,239.7,284.5,300.4,317.0,384.0,386.1,402.1,420.3,420.1,413.1,419.9,415.2,408.5,404.8,403.0,405.8,453.5,488.3,496.1,533.0,569.3,597.8,565.3,591.1,617.9,638.0,655.2
OTHERS,72.3,84.4,106.9,99.2,129.4,162.7,174.0,169.8,265.0,230.9,220.4,226.3,238.0,259.3,251.8,251.8,263.7,273.7,296.6,314.6,318.9,321.2,318.2,325.5,324.1,346.5,366.4,387.4,383.5,382.0,404.8,445.3,469.6,513.1,528.8,581.6,586.2,609.2,631.6,621.7,658.5,699.2,715.5,751.9,724.5,791.0,778.8,814.7,847.8,857.7,879.9,905.5,980.4,982.0
AFRICA,556.4,584.0,611.0,685.6,708.5,723.8,737.2,748.8,765.6,785.0,804.0,834.0,896.0,953.0,984.0,1044.0,1110.0,1193.0,1267.0,1343.0,1459.2,1548.0,1615.5,1684.4,1728.4,1738.2,1739.3,1831.0,1894.3,1950.6,1939.5,1975.8,2069.8,2003.7,2057.2,2128.6,2175.3,2230.4,2289.6,2351.0,2360.2,2463.7,2512.6,2599.3,2786.4,2897.0,2955.7,3048.6,3182.1,3228.8,3348.8,3375.1,3465.7,3549.8
ALGERIA,23.5,21.0,12.6,14.3,22.5,24.7,24.8,25.9,29.5,34.7,42.4,47.9,50.4,64.8,66.0,70.9,84.2,94.7,92.4,102.2,115.2,124.7,132.8,149.6,166.0,165.3,170.9,174.5,176.7,187.6,195.6,194.3,194.8,195.2,185.3,179.8,177.1,170.6,174.4,182.2,192.4,192.3,208.3,222.4,239.1,252.4,259.9,282.6,309.6,315.4,343.6,329.5,351.1,376.8
ANGOLA,5.2,12.1,13.0,13.2,14.8,15.0,15.7,15.7,15.9,16.0,17.2,17.5,21.1,19.4,21.4,18.4,16.5,13.7,21.6,22.3,23.6,38.3,31.3,36.8,21.9,31.2,29.6,29.6,33.8,35.2,31.3,34.3,30.9,32.3,35.0,32.5,34.8,35.8,31.9,39.0,41.7,48.1,51.3,61.3,64.0,67.3,74.8,76.9,80.8,86.6,94.9,104.6,118.7,128.1
EGYPT,98.9,100.5,102.0,103.5,105.1,106.6,108.1,109.8,110.9,112.9,117.0,124.0,141.0,133.0,148.0,161.0,190.0,203.0,212.0,232.0,259.0,299.0,333.0,369.0,401.0,408.0,410.0,440.0,442.0,445.0,453.0,438.7,438.7,374.5,378.2,413.2,427.0,460.2,504.0,507.0,511.5,553.2,558.2,595.6,649.3,682.0,695.0,693.8,697.7,702.6,716.4,751.1,747.5,756.3
LIBYA,4.4,4.1,5.5,6.4,7.3,9.0,10.6,13.8,18.5,20.9,16.4,19.9,24.4,32.7,37.3,51.3,54.4,63.1,69.9,80.4,98.0,113.0,129.0,129.0,128.0,121.0,120.0,132.0,136.0,143.0,144.0,148.0,146.2,145.6,176.6,198.1,200.3,200.1,205.0,210.6,203.4,214.5,215.9,224.0,232.8,231.1,230.4,233.6,253.2,272.9,301.1,231.3,236.0,250.0
NIGERIA,16.0,19.4,17.4,21.6,24.0,25.6,27.3,24.7,23.5,23.8,28.7,34.6,40.2,49.4,54.9,68.7,90.2,113.0,135.3,155.8,161.2,177.7,191.1,193.4,177.7,177.8,179.8,174.9,186.9,192.1,162.3,195.4,247.4,216.1,166.4,194.7,209.1,216.8,207.5,198.8,219.0,250.6,245.9,234.5,246.4,262.7,238.1,218.8,242.8,233.4,270.6,311.4,343.6,384.9
SOUTH AFRICA,101.6,118.2,123.7,128.2,140.7,157.3,170.8,185.0,200.5,220.8,239.3,261.0,264.0,282.0,273.0,286.0,279.0,282.0,287.0,270.0,282.0,295.0,300.0,300.0,313.0,305.0,299.0,314.0,340.0,346.0,371.0,374.5,382.5,380.3,401.1,445.8,454.3,456.0,464.6,472.0,431.7,435.7,430.9,445.1,476.7,497.5,505.4,524.8,532.5,540.7,526.7,556.8,563.6,536.9
TUNISIA,24.3,24.1,23.9,23.6,23.4,23.2,22.8,22.5,23.5,22.1,21.9,25.0,27.0,28.0,29.0,30.0,34.0,40.0,43.0,49.0,52.0,53.0,52.0,59.0,56.0,54.0,58.0,52.0,60.0,66.0,69.0,72.2,72.2,78.2,72.2,70.2,73.2,77.0,79.0,82.0,83.0,86.0,84.5,85.0,88.0,89.0,87.0,88.0,84.0,85.2,86.8,87.4,89.5,89.7
OTHERS,282.4,284.6,313.1,374.8,370.6,362.4,357.2,351.3,343.4,333.8,321.2,304.1,327.9,343.7,354.4,357.7,361.6,383.5,405.9,431.3,468.1,447.3,446.3,447.6,464.8,475.9,472.0,514.0,518.9,535.7,513.3,518.4,557.1,581.5,642.4,594.3,599.5,613.9,623.2,659.4,677.6,683.3,717.6,731.4,790.2,815.1,865.1,930.0,981.6,991.9,1008.7,1003.0,1015.6,1027.0
ASIA AND PACIFIC,1743.4,1993.7,2275.8,2641.4,3077.5,3490.2,3993.3,4502.8,5094.3,5943.5,6775.9,7506.3,8095.7,9234.3,9298.9,9284.7,9840.0,10497.4,11037.1,11276.4,10765.6,10448.6,10198.2,10340.2,10663.0,10641.0,11084.0,11516.0,12386.0,13167.0,13930.7,14512.4,15395.3,16127.2,17043.5,17849.2,18737.1,19651.7,18953.6,20094.2,20679.7,20837.3,21449.9,22382.6,23832.3,24285.9,24913.4,25644.6,25755.6,25874.1,27078.8,27886.6,28902.2,29245.8
